X Location,Y Location,Z Location
0.08950233924729409,0.06265490624424559,0.15875
0.08785340615051918,0.06516110249401542,0.15875
0.08620447305374428,0.06766729874378524,0.15875
0.08455553995696938,0.07017349499355507,0.15875
0.08290660686019447,0.07267969124332489,0.15875
0.08125767376341957,0.07518588749309471,0.15875
0.07960874066664467,0.07769208374286454,0.15875
0.07795980756986975,0.08019827999263436,0.15875
0.07631087447309486,0.08270447624240419,0.15875
0.06971514208599525,0.09272926124148348,0.15875
0.07466194137631996,0.08521067249217401,0.15875
0.07301300827954504,0.08771686874194383,0.15875
0.07136407518277015,0.09022306499171365,0.15875
