X Location,Y Location,Z Location
0.08660526733423356,0.05670968080348409,0.140462
0.08529854990570498,0.05941014179412619,0.140462
0.08399183247717643,0.06211060278476829,0.140462
0.08268511504864787,0.06481106377541039,0.140462
0.08137839762011931,0.06751152476605247,0.140462
0.08007168019159075,0.07021198575669459,0.140462
0.07876496276306219,0.07291244674733668,0.140462
0.07745824533453363,0.07561290773797878,0.140462
0.06961794076336225,0.09181567368183138,0.140462
0.06831122333483369,0.09451613467247347,0.140462
0.06700450590630513,0.09721659566311557,0.140462
0.07615152790600506,0.07831336872862088,0.140462
0.07484481047747651,0.08101382971926298,0.140462
0.07353809304894794,0.08371429070990508,0.140462
0.07223137562041938,0.08641475170054717,0.140462
0.07092465819189081,0.08911521269118927,0.140462
