X Location,Y Location,Z Location
0.07852662180604705,0.056965253879086894,0.140462
0.07758460289634941,0.05981351657304124,0.140462
0.07664258398665177,0.0626617792669956,0.140462
0.07475854616725647,0.06835830465490428,0.140462
0.07381652725755883,0.07120656734885861,0.140462
0.07287450834786119,0.07405483004281296,0.140462
0.07193248943816354,0.0769030927367673,0.140462
0.07099047052846588,0.07975135543072165,0.140462
0.07004845161876824,0.082599618124676,0.140462
0.06910643270907059,0.08544788081863033,0.140462
0.06816441379937295,0.08829614351258468,0.140462
0.0672223948896753,0.09114440620653902,0.140462
0.06628037597997766,0.09399266890049338,0.140462
0.07570056507695412,0.06551004196094994,0.140462
0.08416521200173825,0.09411229495339675,0.15875
0.09613790034414842,0.06991199053680902,0.15875
0.09480760163943618,0.07260091324976321,0.15875
0.09347730293472394,0.07528983596271742,0.15875
0.09214700423001168,0.07797875867567161,0.15875
0.09746819904886066,0.06722306782385483,0.15875
0.1005796358480804,0.07072940024375073,0.15875
0.10001852345286154,0.07367645858724033,0.15875
0.09945741105764266,0.07662351693072994,0.15875
0.09081670552529945,0.08066768138862579,0.15875
0.08948640682058721,0.08335660410157998,0.15875
0.08815610811587497,0.08604552681453419,0.15875
0.08682580941116273,0.08873444952748838,0.15875
0.08549551070645049,0.09142337224044257,0.15875
0.09889629866242379,0.07957057527421955,0.15875
0.09833518626720492,0.08251763361770917,0.15875
0.09777407387198604,0.0854646919611988,0.15875
0.09721296147676717,0.0884117503046884,0.15875
0.09665184908154831,0.09135880864817801,0.15875
0.09609073668632942,0.09430586699166763,0.15875
0.08283491329702601,0.09680121766635096,0.15875
