X Location,Y Location,Z Location
0.0764926286429306,0.08508066327918481,0.15875
0.07528121881420793,0.08782520080431981,0.15875
0.07406980898548526,0.09056973832945481,0.15875
0.07285839915676261,0.0933142758545898,0.15875
0.08618390727271195,0.06312436307810487,0.15875
0.08497249744398928,0.06586890060323987,0.15875
0.08376108761526663,0.06861343812837485,0.15875
0.08254967778654396,0.07135797565350985,0.15875
0.08133826795782129,0.07410251317864484,0.15875
0.08012685812909862,0.07684705070377984,0.15875
0.07891544830037595,0.07959158822891484,0.15875
0.07770403847165328,0.08233612575404982,0.15875
